Object ID,CNN Segment ID,Code,Cross Street 1,Cross Street 2,Detection Type,Cross Street 3,Supervisor District,Cross Street 4,Equipment Type,Vehicle Actuation,Pedestrian Signal,Pedestrian Actuation,Preemption Priority,Upgraded,Year of Contract,Last Upgraded,New Signals Project,Modification Project,Full Upgrade Project,Beacon Flasher,Funding Source,Red Light Camera,Start Year,CALTRANS Route,Maintained CALTRANS,Percent Caltrans Maintenance,Maintained SF,Percent SF Maintenance,Percent Port Maintenance,Last Edited Date,Geom
3618,26594000,Preempt,GEARY,STEINER,OPTICOM, ,5, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL PENDING, , ,NONE,NONE,PENDING,NONE,SALES TAX, ,1961, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7841568075, -122.434575317)"
3619,26490000,Fix,EDDY,GOUGH, , ,5, ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE,SALES TAX, ,1956, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7824819959, -122.424121418)"
3620,24466000,Fix,MCALLISTER,VAN NESS, , ,"5,6", ,SIGNAL, ,ALL, , ,FULL AFTER MOD PENDING,07/00, , ,DONE, , ,SALES TAX, ,9999,101(b), ,50,X,50,,06/21/2017 12:00:00 AM +0000,"(37.780079641, -122.4202604)"
3621,24459000,Fix,GROVE,VAN NESS, , ,"5,6", ,SIGNAL, ,ALL, , ,FULL AFTER MOD PENDING,07/00, , ,DONE, , ,SALES TAX, ,9999,101(b), ,50,X,50,,06/21/2017 12:00:00 AM +0000,"(37.7782559618, -122.419896447)"
3622,24468000,Fix,GOLDEN GATE,VAN NESS, , ,"5,6", ,SIGNAL, ,ALL, , ,FULL AFTER MOD PENDING, ,1996, ,DONE, , ,SALES TAX, ,1948,101(b), ,50,X,50,,06/21/2017 12:00:00 AM +0000,"(37.7810357866, -122.420452733)"
3623,24463000,Fix,GOLDEN GATE,POLK, , ,6, ,SIGNAL, ,ALL, , ,MOD AFTER FULL PENDING,1/02, ,NONE,PENDING,DONE,NONE,T2030 BOND, ,1948, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7812407114, -122.418821666)"
3624,25967000,Fix,MCALLISTER,WEBSTER, , ,5, ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE, , ,1972, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7788558722, -122.430060483)"
3625,25956000,Fix,FULTON,WEBSTER, , ,5, ,SIGNAL, ,ALL, , ,NONE, , , , , , , , ,1972, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7779242397, -122.429862417)"
3626,25966000,Fix,GOLDEN GATE,WEBSTER, , ,5, ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7797877383, -122.430246454)"
3627,25974000,Fix,EDDY,WEBSTER, , ,5, ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE, , ,1978, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7816505282, -122.430622417)"
3628,25972000,Fix,TURK,WEBSTER, , ,5, ,SIGNAL, ,PENDING, , ,FULL PENDING, , ,NONE,NONE,PENDING,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7807205165, -122.430437633)"
3629,26514000,Fix,GEARY,LAGUNA,OPTICOM, ,5, ,SIGNAL, ,PENDING, ,FIRE PREEMPT,FULL AFTER MOD PENDING, , ,NONE,DONE,PENDING,NONE,SFMTA PROP-A, ,1961, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7849588236, -122.428002145)"
3630,26587000,Fix,GEARY,WEBSTER,OPTICOM, ,5, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL PENDING, , ,NONE,NONE,PENDING,NONE,SALES TAX, ,1961, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7845731853, -122.431218164)"
3631,26618000,Fix,GEARY,SCOTT,OPTICOM, ,5, ,SIGNAL, ,PENDING, ,"TSP,FIRE PREEMPT",FULL AFTER MOD PENDING, , ,NONE,DONE,PENDING,NONE,SFMTA PROP-A, ,1961, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7837225823, -122.437861163)"
3632,26492000,Fix,ELLIS,GOUGH, , ,5, ,SIGNAL, ,ALL, , ,FULL DONE, , ,NONE,NONE,DONE,NONE,SALES TAX, ,1965, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7834048028, -122.42430803)"
3633,25964000,Fix,EDDY,LAGUNA, , ,5, ,SIGNAL, ,ALL, , ,MOD DONE, , , ,DONE, , , , ,1978, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7820618832, -122.427409615)"
3634,25959000,Fix,GOLDEN GATE,LAGUNA, , ,5, ,SIGNAL, ,PENDING, , ,MOD PENDING, , ,NONE,PENDING,FUTURE,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7801979743, -122.427029974)"
3635,25962000,Fix,LAGUNA,TURK, , ,5, ,SIGNAL, ,ALL, , ,MOD DONE, , ,NONE,DONE,FUTURE,NONE, , ,1955, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7811220715, -122.427215972)"
3637,25963000,Fix,GOUGH,TURK, , ,5, ,SIGNAL, ,ALL, , ,MOD AFTER MOD PENDING, , ,NONE,PENDING,NONE,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.781540556, -122.423931042)"
3638,25942000,Fix,GOLDEN GATE,GOUGH, , ,5, ,SIGNAL, ,ALL, , ,MOD AFTER MOD PENDING, , ,NONE,PENDING,DONE,NONE,SALES TAX, ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7806165662, -122.423744201)"
